Feature,Importance
Channel_Code,209985.43476247787
Age,159015.96968650818
Vintage,122049.58382892609
Occupation,81120.54949712753
Credit_Product,29282.07702732086
Is_Active,28033.814150333405
Avg_Account_Balance,12254.083745002747
Region_Code,9656.722707509995
Gender,2343.8344316482544
