loss,train_auc,valid_auc,params,iteration,train_time,best_round,feature_importance
-0.7884539401124436,0.8027278854327852,0.7884539401124436,"{'max_depth': 7, 'num_leaves': 145, 'subsample': 0.6138813743427279, 'colsample_bytree': 0.738443279994232, 'reg_alpha': 0.06382256600293935, 'reg_lambda': 0.013297839048037885, 'min_child_samples': 115, 'min_split_gain': 0.190230974354303, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",11,6.434956600191072,85,"[2673.690218567848, 131895.5369131267, 14388.748461470008, 66685.21525019407, 175741.518773973, 101791.27435568471, 24670.829235062003, 17516.487841064732, 22700.420300364494]"
-0.7884672408449377,0.7999721204104132,0.7884672408449377,"{'max_depth': 6, 'num_leaves': 55, 'subsample': 0.9124351334655565, 'colsample_bytree': 0.967789650992676, 'reg_alpha': 0.02062964958618164, 'reg_lambda': 0.6675090446914046, 'min_child_samples': 200, 'min_split_gain': 0.0511448076654065, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",12,8.554749899776652,152,"[2205.9724177916846, 199082.5414867103, 9898.198297676941, 69765.34914267063, 111958.75761683781, 99056.19492650405, 26315.19347299139, 13195.785157474378, 20443.74885525306]"
-0.7873681346980366,0.797254993361463,0.7873681346980366,"{'max_depth': 6, 'num_leaves': 45, 'subsample': 0.713264375212042, 'colsample_bytree': 0.678889408343798, 'reg_alpha': 0.6719120770962763, 'reg_lambda': 1.5492403550483742, 'min_child_samples': 125, 'min_split_gain': 0.16175669300438164, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",13,7.589862100081518,121,"[2102.408654049039, 143868.28279537955, 10776.37034213543, 64718.84688576063, 158408.34729369482, 104999.08460630476, 22062.260815461475, 11910.18525137504, 20309.589728931587]"
-0.7878600915114319,0.7976764716555773,0.7878600915114319,"{'max_depth': 6, 'num_leaves': 135, 'subsample': 0.6269691695176437, 'colsample_bytree': 0.8735693936197599, 'reg_alpha': 0.01847377050534753, 'reg_lambda': 0.25202620361693906, 'min_child_samples': 45, 'min_split_gain': 0.15175081438754523, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",14,6.493491800036281,92,"[1702.6264366706212, 137180.0160508702, 8694.232944265008, 68669.08908561866, 167285.1529918313, 98477.78660424054, 24500.01788879931, 11408.731148645282, 21268.28661497434]"
-0.7885423212340948,0.8001959668900529,0.7885423212340948,"{'max_depth': 6, 'num_leaves': 145, 'subsample': 0.6929842549878388, 'colsample_bytree': 0.7649634480728088, 'reg_alpha': 0.01125356360335457, 'reg_lambda': 5.21428670433264, 'min_child_samples': 55, 'min_split_gain': 0.022048626445054856, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",15,7.31293149990961,124,"[2226.176077162226, 134379.044501101, 11326.397783761224, 66040.13901095589, 173887.7758362194, 101388.72709343955, 23749.43970588843, 13385.916876910254, 22142.251242230337]"
-0.7880350259840755,0.7981280772366389,0.7880350259840755,"{'max_depth': 6, 'num_leaves': 60, 'subsample': 0.950099043659659, 'colsample_bytree': 0.9729805974692298, 'reg_alpha': 0.041006505023546046, 'reg_lambda': 9.187802178509049, 'min_child_samples': 30, 'min_split_gain': 0.17145119114346277, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",16,6.965161300031468,111,"[1659.298796594143, 194994.499722446, 8457.275454123816, 67259.32125295202, 113675.88579320908, 96651.58045688768, 24856.950622022152, 11057.002234876156, 16574.883340964716]"
-0.7833426604506434,0.790508077653031,0.7833426604506434,"{'max_depth': 3, 'num_leaves': 75, 'subsample': 0.9529070419898528, 'colsample_bytree': 0.7300546054049795, 'reg_alpha': 2.8247778078242285, 'reg_lambda': 2.7685374484311343, 'min_child_samples': 80, 'min_split_gain': 0.06208761725872758, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",17,22.06700969999656,750,"[985.8370654483637, 168404.1887936915, 5622.033917675416, 63889.50548982123, 138664.59488298497, 105569.45713834961, 18967.63631139199, 7298.268049515784, 14732.081698576609]"
-0.7859538164915169,0.7948191030009685,0.7859538164915169,"{'max_depth': 4, 'num_leaves': 145, 'subsample': 0.7299796125452439, 'colsample_bytree': 0.6312082363473505, 'reg_alpha': 0.11273269250899026, 'reg_lambda': 0.020381971895498948, 'min_child_samples': 40, 'min_split_gain': 0.02932144807585755, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",18,12.784746499964967,368,"[1748.5355805704992, 160847.05663851896, 7662.571932336937, 68060.490677918, 141806.34759322306, 107954.73827490707, 18451.620684626203, 9361.382117879888, 24355.474355300266]"
-0.7882622770349436,0.8008656280003142,0.7882622770349436,"{'max_depth': 6, 'num_leaves': 70, 'subsample': 0.6980854195523465, 'colsample_bytree': 0.9674703663861304, 'reg_alpha': 0.024223153862949737, 'reg_lambda': 3.5445799713354265, 'min_child_samples': 135, 'min_split_gain': 0.06985301932477642, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",19,8.523728499887511,163,"[2225.7891647815704, 198642.46109490594, 10108.50523470839, 69725.55598425865, 114554.694484214, 99415.9361102283, 25506.950425306957, 13914.138429214558, 19227.820954898994]"
-0.7860779493066526,0.79648288696756,0.7860779493066526,"{'max_depth': 7, 'num_leaves': 45, 'subsample': 0.7789294379947928, 'colsample_bytree': 0.7068278153216424, 'reg_alpha': 8.472268156639915, 'reg_lambda': 1.3776330861630062, 'min_child_samples': 115, 'min_split_gain': 0.052084064859716686, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",20,8.307100699981675,124,"[1738.8916233778, 141980.83874018365, 10448.774341861406, 62738.10602722565, 157262.8413449327, 100704.57180136442, 17140.033375382423, 10675.680976583311, 18783.14756623904]"
